#{"t_start": 1733228792.3435369, "env_id": "Acrobot-v1"}
r,l,t
-70.0,71,21.543305
-92.0,93,21.561412
-71.0,72,21.575469
-128.0,129,21.6005
-62.0,63,21.612513
-79.0,80,21.946092
-78.0,79,21.962061
-230.0,231,22.008927
-84.0,85,22.026022
-157.0,158,22.05786
-89.0,90,22.075706
-85.0,86,22.092726
-75.0,76,22.107784
-71.0,72,22.122012
-94.0,95,22.14078
-89.0,90,22.158205
-74.0,75,22.172922
-75.0,76,22.187623
-72.0,73,22.201728
-69.0,70,22.215222
-72.0,73,22.229248
-86.0,87,22.246104
-77.0,78,22.261196
-76.0,77,22.275787
-207.0,208,22.315474
-142.0,143,22.656626
-88.0,89,22.674924
-79.0,80,22.691098
-78.0,79,22.707088
-102.0,103,22.72775
-73.0,74,22.742966
-73.0,74,22.757828
-78.0,79,22.773558
-88.0,89,22.791283
-81.0,82,22.807455
-84.0,85,22.824342
-94.0,95,22.843211
-64.0,65,22.85613
-71.0,72,22.87018
-128.0,129,22.895393
-176.0,177,22.929997
-86.0,87,22.946896
-78.0,79,22.962269
-93.0,94,22.980419
-88.0,89,22.997706
-64.0,65,23.010239
-84.0,85,23.026607
-82.0,83,23.042602
-88.0,89,23.059893
-82.0,83,23.388839
-78.0,79,23.404693
-72.0,73,23.419378
-86.0,87,23.436832
-82.0,83,23.453534
-62.0,63,23.466174
-82.0,83,23.48283
-96.0,97,23.5022
-63.0,64,23.515031
-93.0,94,23.533822
-76.0,77,23.549216
-65.0,66,23.562411
-90.0,91,23.580224
-89.0,90,23.598006
-73.0,74,23.612225
-104.0,105,23.632519
-72.0,73,23.646496
-67.0,68,23.659662
-71.0,72,23.673544
-87.0,88,23.690538
-76.0,77,23.7054
-70.0,71,23.719056
-74.0,75,23.733575
-94.0,95,23.752015
-81.0,82,23.768048
-95.0,96,24.100645
-86.0,87,24.118095
-286.0,287,24.175112
-81.0,82,24.191388
-81.0,82,24.207677
-81.0,82,24.223994
-73.0,74,24.238625
-87.0,88,24.256103
-73.0,74,24.270858
-61.0,62,24.28317
-84.0,85,24.299881
-64.0,65,24.312428
-93.0,94,24.330277
-102.0,103,24.350522
-105.0,106,24.371427
-118.0,119,24.394493
-71.0,72,24.40836
-70.0,71,24.422174
-110.0,111,24.443512
-76.0,77,24.458233
-63.0,64,24.470632
-84.0,85,24.487147
-90.0,91,24.82058
-74.0,75,24.835813
-111.0,112,24.858458
-73.0,74,24.873383
-81.0,82,24.889904
-93.0,94,24.908823
-82.0,83,24.925527
-88.0,89,24.944274
-83.0,84,24.961497
-89.0,90,24.979748
-61.0,62,24.99226
-92.0,93,25.010853
-83.0,84,25.0274
-89.0,90,25.044785
-85.0,86,25.06177
-87.0,88,25.079092
-66.0,67,25.091898
